mode,degradation,processed_frames,valid_poses,lost_frames,tracking_success_rate,recovery_events,mean_recovery_frames,max_recovery_frames,keyframes,map_points,local_ba_runs,total_runtime_s,mean_frame_ms,p50_frame_ms,p95_frame_ms,fps,ground_truth_poses,estimated_poses,matched_poses,estimated_match_ratio,duration_coverage_ratio,ate_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_rad
baseline,blur,200,200,0,1,0,0,0,17,10046,16,13.6464,68.2318,62.5729,117.398,14.6559,3000,200,198,0.98999999999999999,0.2273177442434301,0.032741704730362073,0.0049197118019922367,0.0061262448609683299
adaptive,blur,200,200,0,1,0,0,0,17,9252,16,14.0418,70.209,65.2806,131.258,14.2432,3000,200,198,0.98999999999999999,0.2273177442434301,0.032107911372366488,0.005052071501560485,0.0063123270451241687
baseline,dark,200,200,0,1,0,0,0,16,10046,15,7.83512,39.1756,32.2821,110.88,25.5261,3000,200,198,0.98999999999999999,0.2273177442434301,0.025468210432957793,0.0048641428328966216,0.0060738605419827993
adaptive,dark,200,200,0,1,0,0,0,17,10099,16,8.06406,40.3203,34.8096,107.894,24.8014,3000,200,198,0.98999999999999999,0.2273177442434301,0.025000218579090693,0.0048749356994900869,0.0060740152260715264
baseline,occlusion,200,200,0,1,0,0,0,22,17623,21,8.43974,42.1987,37.6042,85.3796,23.6974,3000,200,198,0.98999999999999999,0.2273177442434301,0.052648171502247966,0.0082456676699642975,0.0084300826704666789
adaptive,occlusion,200,200,0,1,0,0,0,20,15289,19,8.06993,40.3496,36.1167,79.8529,24.7834,3000,200,198,0.98999999999999999,0.2273177442434301,0.054455370872750687,0.0082197138766531962,0.0084424385083841837
baseline,noise,200,200,0,1,0,0,0,17,12625,16,10.9549,54.7747,49.7221,110.186,18.2566,3000,200,198,0.98999999999999999,0.2273177442434301,0.025805414614690308,0.0050446042299196981,0.0062193689704465602
adaptive,noise,200,200,0,1,0,0,0,18,11933,17,11.2017,56.0084,51.0759,104.714,17.8545,3000,200,198,0.98999999999999999,0.2273177442434301,0.026299837951167988,0.005188361426398099,0.0063305256796998277
baseline,drop,200,180,20,0.9,19,1,1,17,12015,16,8.55498,42.7749,34.7758,120.554,23.3782,3000,180,178,0.98888888888888893,0.22599170254284046,0.02449880892208299,0.0051779132063592545,0.0063414966621591013
adaptive,drop,200,180,20,0.9,19,1,1,16,10710,15,8.49258,42.4629,36.0275,97.6773,23.55,3000,180,178,0.98888888888888893,0.22599170254284046,0.023556586666277014,0.0052553592339520949,0.0064210564250631579
